Piece,Voice,Note/Rest,Id,Measure Number,Position in Measure,Ground truth,,Script,
,,,,,,Note Shape,Quality,Note Shape,Quality
bona.mei,1,NOTE,m-1728,67,1,longa, 2/3,longa,1    
,2,NOTE,m-1737,67,1,longa, 2/3,longa,1    
ColoRed_Ock3016.mei,1,NOTE,m-2004,52,1,brevis, 2/3,brevis,1    
,2,NOTE,m-253,6,1,brevis, 2/3,brevis,1    
,2,NOTE,m-287,7,1,semibrevis,1    ,semibrevis,2    
,2,NOTE,m-677,16,5,semibrevis,1    ,semibrevis,2    
,2,NOTE,m-1003,25,2,semibrevis,1    ,semibrevis,2    
,2,NOTE,m-1189,30,5,semibrevis,1    ,semibrevis,2    
,2,NOTE,m-1224,31,1,brevis,1    ,brevis, 2/3
,2,NOTE,m-1489,38,1,semibrevis,1    ,semibrevis,2    
,2,NOTE,m-1993,51,5,semibrevis,1    ,semibrevis,2    
,2,NOTE,m-2009,52,1,brevis, 2/3,brevis,1    
,3,NOTE,m-2014,52,1,brevis, 2/3,brevis,1    
cum_venerint.mei,2,NOTE,m-983,35,1,longa,1    ,longa, 2/3
,2,NOTE,m-1039,37,4,brevis,1    ,brevis,2    
de_touz.mei,1,NOTE,m-216,6,7,brevis,1    ,brevis, 2/3
,1,NOTE,m-267,7,13,semibrevis,1    ,semibrevis,2    
,1,NOTE,m-1524,42,7,brevis,1    ,brevis, 2/3
,1,NOTE,m-1569,43,13,semibrevis,1    ,semibrevis,2    
,2,NOTE,m-321,8,1,longa, 5/6,longa,1    
,2,NOTE,m-559,15,4,brevis,1    ,brevis, 2/3
,2,NOTE,m-607,16,11,semibrevis,1    ,semibrevis,2    
,2,NOTE,m-647,17,1,longa, 5/6,longa,1    
,2,NOTE,m-885,24,4,brevis,1    ,brevis, 2/3
,2,NOTE,m-931,25,11,semibrevis,1    ,semibrevis,2    
,2,NOTE,m-968,26,1,longa, 5/6,longa,1    
,2,NOTE,m-1214,33,4,brevis,1    ,brevis, 2/3
,2,NOTE,m-1263,34,11,semibrevis,1    ,semibrevis,2    
,2,NOTE,m-1294,35,1,longa, 5/6,longa,1    
,2,NOTE,m-1541,42,4,brevis,1    ,brevis, 2/3
,2,NOTE,m-1590,43,11,semibrevis,1    ,semibrevis,2    
,2,NOTE,m-1620,44,1,longa, 5/6,longa,1    
,2,NOTE,m-1648,45,1,longa,1 1/2,longa,1    
Duf16002.mei,1,NOTE,m-213,10,1,semibrevis,1    ,semibrevis, 2/3
,1,NOTE,m-218,10,4,minima,1    ,minima,1 1/2
,2,NOTE,m-221,10,1,semibrevis,1    ,semibrevis, 2/3
,2,NOTE,m-226,10,4,minima,1    ,minima,1 1/2
,2,NOTE,m-457,21,3,minima,1    ,minima,1 1/2
Duf22518.mei,1,NOTE,m-269,12,8,minima,1    ,minima,1 1/2
,1,NOTE,m-289,13,2,minima,2    ,minima,1    
,2,NOTE,m-122,5,1,brevis, 5/6,brevis,1    
,3,NOTE,m-128,5,1,semibrevis,1    ,semibrevis, 2/3
,3,NOTE,m-172,7,2,minima,2    ,minima,1    
Duf3025.mei,1,NOTE,m-513,15,1,brevis,1    ,brevis, 2/3
,1,NOTE,m-565,17,2,semibrevis,2    ,semibrevis,1    
,2,NOTE,m-845,26,1,longa, 5/6,longa,1    
hugo.mei,1,NOTE,m-520,16,4,longa, 2/3,longa,1    
,1,NOTE,m-655,20,3,longa, 2/3,longa,1    
,1,NOTE,m-858,26,4,longa, 2/3,longa,1    
LongEnd_Ock3009_Dijon.mei,1,NOTE,m-328,21,1,brevis,1    ,brevis, 2/3
,1,NOTE,m-522,34,1,brevis, 2/3,brevis,1    
,1,NOTE,m-537,35,1,semibrevis,1    ,semibrevis,2    
,1,NOTE,m-539,35,2,brevis, 2/3,brevis,1    
,3,NOTE,m-234,14,1,brevis, 2/3,brevis,1    
,3,NOTE,m-248,15,1,semibrevis,1    ,semibrevis,2    
,3,NOTE,m-277,17,3,semibrevis,1    ,semibrevis,2    
Ock3008.mei,2,NOTE,m-897,19,1,brevis, 2/3,brevis,1    
Ock3012_Laborde.mei,1,NOTE,m-575,15,3,semibrevis,1    ,semibrevis,2    
,1,NOTE,m-1197,34,1,brevis,1    ,brevis, 2/3
,3,NOTE,m-1049,29,1,brevis, 2/3,brevis,1    
,3,NOTE,m-1211,34,1,brevis,1    ,brevis, 2/3
post_misse.mei,1,NOTE,m-2115,55,1,longa,1 1/2,longa,1    
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
LongEnd_Ock3009.mei,1,NOTE,m-522,34,1,brevis, 2/3,brevis,1    
,1,NOTE,m-537,35,1,semibrevis,1    ,semibrevis,2    
,1,NOTE,m-539,35,2,brevis, 2/3,brevis,1    
,3,NOTE,m-234,14,1,brevis, 2/3,brevis,1    
,3,NOTE,m-248,15,1,semibrevis,1    ,semibrevis,2    
,3,NOTE,m-277,17,3,semibrevis,1    ,semibrevis,2    
,,,,,,,,,
Ock3012.mei,1,NOTE,m-575,15,3,semibrevis,1    ,semibrevis,2    
,1,NOTE,m-1196,34,1,brevis,1    ,brevis, 2/3
,3,NOTE,m-1051,29,1,brevis, 2/3,brevis,1    
,3,NOTE,m-1210,34,1,brevis,1    ,brevis, 2/3
