Piece,Voice,Note Level,Perfect / Imperfect,Regular / Altered,Colored,Regular / Augmented
bona,Voice # 1,L - B,7,0,0,0
bona,Voice # 1,B - Sb,None,None,0,0
bona,Voice # 1,Sb - M,115,8,0,0
bona,Voice # 2,L - B,19,6,0,2
bona,Voice # 2,B - Sb,None,None,0,2
bona,Voice # 2,Sb - M,84,0,0,2
bona,Voice # 3,L - B,None,None,0,0
bona,Voice # 3,B - Sb,None,None,0,0
bona,Voice # 3,Sb - M,0,0,0,0
ColoRed_Ock3016,Voice # 1,L - B,None,None,4,24
ColoRed_Ock3016,Voice # 1,B - Sb,5,0,4,24
ColoRed_Ock3016,Voice # 1,Sb - M,None,None,4,24
ColoRed_Ock3016,Voice # 2,L - B,None,None,2,16
ColoRed_Ock3016,Voice # 2,B - Sb,12,6,2,16
ColoRed_Ock3016,Voice # 2,Sb - M,None,None,2,16
ColoRed_Ock3016,Voice # 3,L - B,None,None,4,15
ColoRed_Ock3016,Voice # 3,B - Sb,15,6,4,15
ColoRed_Ock3016,Voice # 3,Sb - M,None,None,4,15
cum_venerint,Voice # 1,L - B,12,3,0,0
cum_venerint,Voice # 1,B - Sb,None,None,0,0
cum_venerint,Voice # 1,Sb - M,86,0,0,0
cum_venerint,Voice # 2,L - B,20,7,0,0
cum_venerint,Voice # 2,B - Sb,None,None,0,0
cum_venerint,Voice # 2,Sb - M,20,0,0,0
cum_venerint,Voice # 3,L - B,26,4,0,0
cum_venerint,Voice # 3,B - Sb,None,None,0,0
cum_venerint,Voice # 3,Sb - M,0,0,0,0
de_touz,Voice # 1,L - B,5,5,0,5
de_touz,Voice # 1,B - Sb,60,15,0,5
de_touz,Voice # 1,Sb - M,None,None,0,5
de_touz,Voice # 2,L - B,None,None,0,1
de_touz,Voice # 2,B - Sb,45,10,0,1
de_touz,Voice # 2,Sb - M,None,None,0,1
de_touz,Voice # 3,L - B,20,15,0,0
de_touz,Voice # 3,B - Sb,30,10,0,0
de_touz,Voice # 3,Sb - M,None,None,0,0
decens,Voice # 1,L - B,None,None,0,0
decens,Voice # 1,B - Sb,None,None,0,0
decens,Voice # 1,Sb - M,144,14,0,0
decens,Voice # 2,L - B,None,None,0,0
decens,Voice # 2,B - Sb,None,None,0,0
decens,Voice # 2,Sb - M,122,2,0,0
decens,Voice # 3,L - B,None,None,0,13
decens,Voice # 3,B - Sb,None,None,0,13
decens,Voice # 3,Sb - M,0,0,0,13
decens,Voice # 4,L - B,None,None,0,14
decens,Voice # 4,B - Sb,None,None,0,14
decens,Voice # 4,Sb - M,0,0,0,14
diex,Voice # 1,L - B,None,None,0,0
diex,Voice # 1,B - Sb,None,None,0,0
diex,Voice # 1,Sb - M,140,4,0,0
diex,Voice # 2,L - B,None,None,0,0
diex,Voice # 2,B - Sb,None,None,0,0
diex,Voice # 2,Sb - M,81,5,0,0
diex,Voice # 3,L - B,None,None,0,0
diex,Voice # 3,B - Sb,None,None,0,0
diex,Voice # 3,Sb - M,0,0,0,0
Duf16002,Voice # 1,L - B,None,None,10,5
Duf16002,Voice # 1,B - Sb,None,None,10,5
Duf16002,Voice # 1,Sb - M,22,13,10,5
Duf16002,Voice # 2,L - B,None,None,9,7
Duf16002,Voice # 2,B - Sb,None,None,9,7
Duf16002,Voice # 2,Sb - M,30,14,9,7
Duf16002,Voice # 3,L - B,None,None,21,6
Duf16002,Voice # 3,B - Sb,None,None,21,6
Duf16002,Voice # 3,Sb - M,19,13,21,6
Duf22518,Voice # 1,L - B,None,None,0,8
Duf22518,Voice # 1,B - Sb,None,None,0,8
Duf22518,Voice # 1,Sb - M,11,10,0,8
Duf22518,Voice # 2,L - B,None,None,3,2
Duf22518,Voice # 2,B - Sb,None,None,3,2
Duf22518,Voice # 2,Sb - M,15,3,3,2
Duf22518,Voice # 3,L - B,None,None,3,5
Duf22518,Voice # 3,B - Sb,None,None,3,5
Duf22518,Voice # 3,Sb - M,13,6,3,5
Duf3007.2,Voice # 1,L - B,None,None,4,3
Duf3007.2,Voice # 1,B - Sb,8,1,4,3
Duf3007.2,Voice # 1,Sb - M,None,None,4,3
Duf3007.2,Voice # 2,L - B,None,None,0,7
Duf3007.2,Voice # 2,B - Sb,14,4,0,7
Duf3007.2,Voice # 2,Sb - M,None,None,0,7
Duf3007.2,Voice # 3,L - B,None,None,0,10
Duf3007.2,Voice # 3,B - Sb,17,5,0,10
Duf3007.2,Voice # 3,Sb - M,None,None,0,10
Duf3025,Voice # 1,L - B,None,None,0,12
Duf3025,Voice # 1,B - Sb,17,8,0,12
Duf3025,Voice # 1,Sb - M,None,None,0,12
Duf3025,Voice # 2,L - B,None,None,5,6
Duf3025,Voice # 2,B - Sb,23,10,5,6
Duf3025,Voice # 2,Sb - M,None,None,5,6
Duf3025,Voice # 3,L - B,None,None,5,9
Duf3025,Voice # 3,B - Sb,24,11,5,9
Duf3025,Voice # 3,Sb - M,None,None,5,9
Duf3069,Voice # 1,L - B,None,None,0,2
Duf3069,Voice # 1,B - Sb,7,0,0,2
Duf3069,Voice # 1,Sb - M,None,None,0,2
Duf3069,Voice # 2,L - B,None,None,0,0
Duf3069,Voice # 2,B - Sb,18,0,0,0
Duf3069,Voice # 2,Sb - M,None,None,0,0
Duf3069,Voice # 3,L - B,None,None,0,0
Duf3069,Voice # 3,B - Sb,18,0,0,0
Duf3069,Voice # 3,Sb - M,None,None,0,0
durement,Voice # 1,L - B,None,None,0,0
durement,Voice # 1,B - Sb,None,None,0,0
durement,Voice # 1,Sb - M,148,0,0,0
durement,Voice # 2,L - B,None,None,0,5
durement,Voice # 2,B - Sb,None,None,0,5
